volume,lfd Nr.,Signatur-Fonds,Signatur-Nr.,datum,when,notBefore,notAfter,ort,region,region_konk,form,flags
Aberle/Prescher 1997,35,Urk.,1,879 November 22,0879-11-22,,,Regensburg,Österreich,Österreich,,
Aberle/Prescher 1997,57,Urk.,3,1149 Januar 15,1149-01-15,,,Magdeburg,Erzbistum Magdeburg,Eb Magdeburg,,
Aberle/Prescher 1997,80,Urk.,4,[Nach 1227 September 14],,1227-09-14,,,Thüringen und Harzraum: weitere Empfänger in Erfurt,Thüringen/Harzraum,,terminus post quem seulement
Aberle/Prescher 1997,58,Urk.,5,1246 Juli 19,1246-07-19,,,Magdeburg,Erzbistum Magdeburg,Eb Magdeburg,,
Aberle/Prescher 1997,7,Urk.,6,1270 März 7,1270-03-07,,,,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,8,Urk.,7,1270 Dezember 21,1270-12-21,,,,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,9,Urk.,8,1290 Mai 12,1290-05-12,,,[Worms],Mittelrhein,Mittelrhein,,
Müller et al. 2007,1,Urk.,9,1295 April,,1295-04-01,1295-04-30,,Frankreich,Frankreich,"Grundstücksbesitz, inseriert: Grundstücksverkauf",
Aberle/Prescher 1997,85,Urk.,10,1297 Juli 26,1297-07-26,,,,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Aberle/Prescher 1997,10,Urk.,11,1300 Mai 28,1300-05-28,,,,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,11,Urk.,13,1307 Juli 27,1307-07-27,,,,Mittelrhein,Mittelrhein,,"OCR ""Juli IT"" corrigé d après la concordance (27)"
Aberle/Prescher 1997,26,Urk.,20,1326 September 27,1326-09-27,,,Nürnberg,Bayern,Bayern,,
Aberle/Prescher 1997,22,Urk.,22,1336 Juni 9,1336-06-09,,,[Speyer],Oberrhein,Oberrhein,Inserierung,
Aberle/Prescher 1997,47,Urk.,23,1337 Dezember 28,1337-12-28,,,,Niedersachsen und Hamburg,Niedersachsen/Hamburg,,
Aberle/Prescher 1997,46,Urk.,24,1337 März 30,1337-03-30,,,,Niedersachsen und Hamburg,Niedersachsen/Hamburg,,
