signatur,titel,place,date-issued,date-year,URN,Literatur,"Literatur, direkt Link",link-images,oai_id
Urk. 30,"Urkunde 30, 1349 September 3, Köln",Köln,Des donresdaichs na sent Geliis dage zo Ceulne in der stat in den jairen uns Herrn  drutzeinhundert jair ind in deme nuin ind virtzichme jairen,1349,urn:nbn:de:kobv:11-712800,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/35/,https://www.digi-hub.de/viewer/content/1597821581552/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597821581552/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597821581552/full/0/00000003.jpg,1597821581552
Urk. 42,"Urkunde 42, 1361 April 19, Köln",[Köln],Datum anno domini millesimo CCC? sexagesimoprimo feria secunda post  dominicam Jubilate,1361,urn:nbn:de:kobv:11-712806,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/37/,https://www.digi-hub.de/viewer/content/1597844174761/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597844174761/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597844174761/full/0/00000003.jpg,1597844174761
Urk. 64,"Urkunde 64, 1380 März, Köln",[Köln],Datum anno domini M°“ trecentesimo octuagesimo mensis martii die ...,1380,urn:nbn:de:kobv:11-712808,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/39/,https://www.digi-hub.de/viewer/content/1597909821837/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597909821837/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597909821837/full/0/00000003.jpg,1597909821837
Urk. 153,"Urkunde 153, 1485 August 26, Niederrhein",Niederrhein,Gegeben in den jairen uns Hern duysent vierhundert vunffundeichtzich uf  donresdach neist na sent Bartholomeisdage des hilligen apostell,1485,urn:nbn:de:kobv:11-712809,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/40/,https://www.digi-hub.de/viewer/content/1597911106602/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597911106602/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597911106602/full/0/00000003.jpg,1597911106602
Urk. 182,"Urkunde 182, 1520 März 25, Niederrhein",Niederrhein,Gegeven int jaer ons Heren do men screeff dusent vyffhundert inde twyntich op  onser lyever Vrowen dach genant Annunciacionis,1520,urn:nbn:de:kobv:11-712810,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/41/,https://www.digi-hub.de/viewer/content/1597913027053/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597913027053/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597913027053/full/0/00000003.jpg,1597913027053
Urk. 58,"Urkunde 58, 1377 April 9, Niederrhein",Niederrhein,Gegeben ist nach Cristes geburt druczehenhundert jar und darnach in dem  sibenundsibenczigsten jare am nehsten donrstag nach dem suntag  Quasimodogeniti,1377,urn:nbn:de:kobv:11-712807,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/38/,https://www.digi-hub.de/viewer/content/1597845350307/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597845350307/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597845350307/full/0/00000003.jpg,1597845350307
Urk. 6,"Urkunde 6, 1270 März 7, Mittelrhein",Mittelrhein,Actum anno domini M» CC? LXX feria sexta ante dominicam Reminiscere,1270,urn:nbn:de:kobv:11-712811,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/42/,https://www.digi-hub.de/viewer/content/1597915714638/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597915714638/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597915714638/full/0/00000003.jpg,1597915714638
Urk. 11,"Urkunde 11, 1300 Mai 28, Mittelrhein",Mittelrhein,Datum anno domini millesimo CCC° festo Penthecostes,1300,urn:nbn:de:kobv:11-712814,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/45/,https://www.digi-hub.de/viewer/content/1597928223660/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597928223660/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597928223660/full/0/00000003.jpg,1597928223660
Urk. 8,"Urkunde 8, 1290 Mai 12, Worms",[Worms],Anno domini M° CC° LXXXX° in crastino Ascensionis domini,1290,urn:nbn:de:kobv:11-712813,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/44/,https://www.digi-hub.de/viewer/content/1597925048684/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597925048684/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597925048684/full/0/00000003.jpg,1597925048684
Urk. 7,"Urkunde 7, 1270 Dezember 21, Mittelrhein",Mittelrhein,Actum anno domini M° CC° LX°X° in festo beati Thome apostoli,1270,urn:nbn:de:kobv:11-712812,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/43/,https://www.digi-hub.de/viewer/content/1597922275724/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1597922275724/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1597922275724/full/0/00000003.jpg,1597922275724
